species_code,ssid,raw_species,raw_common,aphiaID,TSN
2,ak,,fishe,293496,161105
3,ak,,fish,11676,NA
10,ak,Petromyzontidae,lamprey,101163,159697
21,ak,Entosphenus tridentatus,Pacific lamprey,314348,159699
100,ak,Myxinidae,hagfish,101162,159753
109,ak,Eptatretus,,206895,159754
110,ak,Eptatretus deani,black hagfish,279277,159756
120,ak,Eptatretus stoutii,Pacific hagfish,279298,622244
150,ak,Selachii,shark,368408,NA
151,ak,Chondrichthyes,cartilaginous fish,1517375,NA
180,ak,Alopias vulpinus,thresher shark,105836,159916
200,ak,Scyliorhinidae,cat shark,105693,159985
210,ak,Apristurus brunneus,brown cat shark,158512,159988
211,ak,Parmaturus xaniurus,filetail cat shark,282166,160108
212,ak,Apristurus kampae,longnose cat shark,271342,160002
213,ak,Apristurus,,105727,159987
214,ak,Cephaloscyllium ventriosum,swell shark,277105,160089
222,ak,Hexanchus griseus,sixgill shark,105833,159819
232,ak,Lamna ditropis,salmon shark,271421,159910
242,ak,Cetorhinus maximus,basking shark,105837,159907
252,ak,Squatina californica,Pacific angel shark,271667,160785
310,ak,Squalus suckleyi,spiny dogfish,299224,160620
311,ak,Centroscyllium nigrum,combtooth dogfish,271623,160706
320,ak,Somniosus pacificus,Pacific sleeper shark,271654,160610
332,ak,Galeorhinus galeus,soupfin shark,105820,160181
339,ak,Mustelus,,105732,160226
340,ak,Mustelus henlei,brown smoothhound,271386,160236
341,ak,Mustelus californicus,gray smoothhound,271381,160235
351,ak,Prionace glauca,blue shark,105801,160424
355,ak,Triakis semifasciata,leopard shark,279060,160448
400,ak,Rajidae,skate,105711,160845
404,ak,Raja,,105766,160846
405,ak,Bathyraja,,105761,160928
406,ak,Bathyraja spinosissima,white skate,271536,160933
410,ak,Bathyraja abyssicola,deepsea skate,271503,564114
420,ak,Beringraja binoculata,big skate,1021330,NA
425,ak,Beringraja inornata,California skate,1461134,NA
425,ak,Raja inornata,California skate,1461134,NA
435,ak,Bathyraja interrupta,Bering skate,271515,160937
440,ak,Beringraja rhina,longnose skate,1461133,NA
445,ak,Amblyraja hyperborea,roughshoulder skate,105863,564138
450,ak,Beringraja stellulata,starry skate,1461135,NA
450,ak,Raja stellulata,starry skate,1461135,NA
455,ak,Bathyraja taranetzi,mud skate,298834,649715
455,ak,Rhinoraja taranetzi,mud skate,298834,649715
460,ak,Bathyraja trachura,roughtail skate,271538,160942
