RawName,SpeciesName,ScientificName,AphiaID,Family,Order,Class,TaxaGroup
Acanthogorgia sp.,Acanthogorgia,Acanthogorgia,125293,Acanthogorgiidae,Malacalcyonacea,Octocorallia,Coral
Acanthogorgiidae,Acanthogorgiidae,Paramuriceidae,125272,Acanthogorgiidae,Malacalcyonacea,Octocorallia,Coral
Actinaria,Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Actinaria (anemone Order),Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Actinaria (anemone),Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Actiniaria (sea anemone),Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Anemone,Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Unid. Anthozoa,Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Agonidae,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Agonidae (poacher),Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Bathyagonus nigripinnis,Bathyagonus nigripinnis,Bathyagonus nigripinnis,254505,Agonidae,Perciformes,Teleostei,Fish
Poacher,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
poacher,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Poacher unid,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Poacher unid.,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Poacher Unid.,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Poacher/eelpout,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Sawback poacher,Sarritor frenatus,Sarritor frenatus,254374,Agonidae,Perciformes,Teleostei,Fish
Sculpin/Poacher,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
sculpin/poacher/eelpout,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Sculpin/Poacher/snailfish,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Sculpin/Poacher/Snailfish,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
sculpin/poacher/snailfish/eelpout,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Alcyoniidae,Alcyoniidae,Alcyoniidae,125269,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Anthothela sp.,Anthothela,Anthothela,125324,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Gersemia sp,Gersemia,Gersemia,146953,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Gersemia sp.,Gersemia,Gersemia,146953,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Soft coral,Gersemia,Gersemia,146953,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,159463,Anoplopomatidae,Perciformes,Teleostei,Fish
Anoplopoma fimbria (sablefish),Anoplopoma fimbria,Anoplopoma fimbria,159463,Anoplopomatidae,Perciformes,Teleostei,Fish
Sable fish,Anoplopoma fimbria,Anoplopoma fimbria,159463,Anoplopomatidae,Perciformes,Teleostei,Fish
Sablefish,Anoplopoma fimbria,Anoplopoma fimbria,159463,Anoplopomatidae,Perciformes,Teleostei,Fish
Stichopathes spiessi,Aphanostichopathes spiessi,Aphanostichopathes spiessi,1516570,Aphanipathidae,Antipatharia,Hexacorallia,Coral
Anthoptilum cf lithophilum,Lithoptilum lithophilum,Lithoptilum lithophilum,1769885,Anthoptilidae,Scleralcyonacea,Octocorallia,Pennatulacean
Anthoptilum grandiflorum,Anthoptilum grandiflorum,Anthoptilum grandiflorum,128504,Anthoptilidae,Scleralcyonacea,Octocorallia,Pennatulacean
Anthoptilum sp,Anthoptilum sp,Anthoptilum sp,128489,Anthoptilidae,Scleralcyonacea,Octocorallia,Pennatulacean
Antipathidae,Antipathidae,Antipathidae,103301,Antipathidae,Antipatharia,Hexacorallia,Coral
Aphanostichopathes spiessi,Aphanostichopathes spiessi,Aphanostichopathes spiessi,1516570,Aphanipathidae,Antipatharia,Hexacorallia,Coral
Alaska skate,Bathyraja parmifera,Arctoraja parmifera,271528,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Aleutian Skate,Bathyraja aleutica,Bathyraja aleutica,271506,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja aleutica,Bathyraja aleutica,Bathyraja aleutica,271506,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja aleutica (Aleutian skate),Bathyraja aleutica,Bathyraja aleutica,271506,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja egg case,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja interrupta (GOA form),Bathyraja interrupta,Bathyraja interrupta,271515,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja lindbergi,Bathyraja lindbergi,Bathyraja lindbergi,271517,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja maculata,Bathyraja maculata,Bathyraja maculata,271520,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja maculata (whiteblotched),Bathyraja maculata,Bathyraja maculata,271520,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja minispinosa,Bathyraja minspinosa,Bathyraja minispinosa,271524,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja minispinosa (whitebrow),Bathyraja minspinosa,Bathyraja minispinosa,271524,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja minisponosa (whitebrow),Bathyraja minspinosa,Bathyraja minispinosa,271524,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja parmifera,Bathyraja parmifera,Arctoraja parmifera,271528,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja parmifera (Alaska),Bathyraja parmifera,Arctoraja parmifera,271528,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja sp,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja sp.,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja sp. egg case,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja taranetzi,Bathyraja taranetzi,Bathyraja taranetzi,298834,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Butterfly skate,Bathyraja mariposa,Bathyraja mariposa,271522,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Leopard skate,Bathyraja panthera,Bathyraja panthera,712390,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Mud Skate,Bathyraja taranetzi,Bathyraja taranetzi,298834,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Skate,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
skate,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
