"SURVEY_SPECIES","SPECIES_NAME","COMMON_NAME","SPECIES_CODE","ID_RANK","DATABASE","DATABASE_ID","GENUS_TAXON","SUBFAMILY_TAXON","FAMILY_TAXON","SUPERFAMILY_TAXON","INFRAORDER_TAXON","SUBORDER_TAXON","ORDER_TAXON","SUPERORDER_TAXON","INFRACLASS_TAXON","SUBCLASS_TAXON","CLASS_TAXON","SUPERCLASS_TAXON","SUBPHYLUM_TAXON","PHYLUM_TAXON","KINGDOM_TAXON"
0,"Hippoglossoides robustus","Bering flounder",10140,"species","ITIS",172876,"Hippoglossoides","Hippoglossoidinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Hippoglossoides robustus (juvenile)","Bering flounder (juvenile)",10141,"species","WORMS",,"Hippoglossoides","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
1,"Pleuronichthys guttulatus","diamond turbot",10145,"species","WORMS",293680,"Pleuronichthys","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Hypsopsetta guttulata","diamond turbot",10145,"species","ITIS",172945,"Hypsopsetta","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Lyopsetta exilis","slender sole",10150,"species","WORMS",281452,"Lyopsetta","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Lyopsetta exilis","slender sole",10150,"species","ITIS",172871,"Lyopsetta","Lyopsettinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Liopsetta glacialis","Arctic flounder",10155,"species","WORMS",275844,"Liopsetta","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Liopsetta glacialis","Arctic flounder",10155,"species","ITIS",172913,"Liopsetta","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Eopsetta jordani","petrale sole",10160,"species","WORMS",280690,"Eopsetta","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Eopsetta jordani","petrale sole",10160,"species","ITIS",172868,"Eopsetta","Eopsettinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Parophrys vetulus","English sole",10170,"species","WORMS",254393,"Parophrys","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Parophrys vetulus","English sole",10170,"species","ITIS",172921,"Parophrys","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Microstomus pacificus","Dover sole",10180,"species","WORMS",274294,"Microstomus","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Microstomus pacificus","Dover sole",10180,"species","ITIS",172887,"Microstomus","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Microstomus bathybius","deepsea sole",10190,"species","WORMS",305684,"Microstomus","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Embassichthys bathybius","deepsea sole",10190,"species","ITIS",172866,"Embassichthys","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Glyptocephalus zachirus","rex sole",10200,"species","WORMS",274287,"Glyptocephalus","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Glyptocephalus zachirus","rex sole",10200,"species","ITIS",172978,"Glyptocephalus","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Glyptocephalus zachirus larvae","rex sole larvae",10201,"species","WORMS",,"Glyptocephalus","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
1,"Limanda aspera (juvenile)","yellowfin sole (juvenile)",10209,"species","WORMS",,"Limanda","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
1,"Limanda aspera","yellowfin sole",10210,"species","WORMS",254562,"Limanda","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Limanda aspera","yellowfin sole",10210,"species","ITIS",172907,"Limanda","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Myzopsetta proboscidea","longhead dab",10211,"species","WORMS",319505,"Myzopsetta","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
1,"Limanda sakhalinensis","Sakhalin sole",10212,"species","WORMS",274292,"Limanda","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Limanda sakhalinensis","Sakhalin sole",10212,"species","ITIS",616064,"Limanda","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Platichthys stellatus","starry flounder",10220,"species","WORMS",154781,"Platichthys","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
0,"Platichthys stellatus","starry flounder",10220,"species","ITIS",172893,"Platichthys","Pleuronectinae","Pleuronectidae","","","Pleuronectoidei","Pleuronectiformes","Acanthopterygii","","","Teleostei","Actinopterygii","Vertebrata","Chordata","Animalia"
1,"Platichthys stellatus X Pleuronectes quadrituberculatus hybrid","hybrid starry flounder X Alaska plaice",10221,"species","WORMS",,"Platichthys","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia"
