"species_code","ssid","raw_species","raw_common","aphiaID"
"0189577c-3a55-7ef9-aaf9-9cede088033c","wc","Gelatinous material","gelatinous material",NA
"0189577c-3a54-74b6-87a9-00be6f0b91a4","wc","unsorted shab","unsorted shab",NA
"0189577c-3a46-7c9a-aa23-01ef02803770","wc","Invertebrata","invertebrate",NA
"0189577c-3a54-72ba-951a-0a3721ee6c7e","wc","corals and bryozoans","corals and bryozoans",NA
"0189577c-3aa2-766a-ae11-90c3f388ae26","wc","Palpata","",NA
"0189577c-41fd-73a8-ab7f-580d83fd7261","wc","Eryonicus","",NA
"0189577c-4309-7af6-8122-fb7959b09f06","wc","Eryonicus agassizi","",NA
"0189577c-3b20-7451-ba9f-4c42b3fe93c8","wc","Rhynchonellacea","",NA
"0189577c-3d23-7e78-a3ae-58d08e1f1d5c","wc","Hemithyrididae","",NA
"0189577c-3ab9-7b14-b62f-e3b39c9511fe","wc","Pyrosomida","",NA
"0189577c-3a86-7555-afce-2d461ea4ce8c","wc","decomposed fish","decomposed fish",NA
"0189577c-3b0a-7cd4-b8d9-48b01fa45fb5","wc","Euselachii","",NA
"0189577c-3dc0-79de-9ae9-02cf2a956c6f","wc","Notorynchidae","",NA
"0189577c-3bf4-79fb-b20a-eab98dab2221","wc","Rhinobatiformes","",NA
"0189577c-3b5f-770d-9e35-588c817d3bb7","wc","Holocephalimorpha","",NA
"0189577c-3d99-7f1b-a953-eb3aee000f03","wc","Chimaeroidei","",NA
"0189577c-3edf-7f02-b44f-8da747dad0f8","wc","Acipenseroidei","",NA
"0189577c-3bcf-77c2-be3f-d61cdf91542f","wc","Neopterygii","",NA
"0189577c-3fb5-743b-8554-821c9d9958e9","wc","Acanthopterygii","",NA
"0189577c-4145-7723-8115-ae1aed02657f","wc","Atherinoidei","",NA
"0189577c-4155-7786-b217-1191ea079c0b","wc","Belonoidei","",NA
"0189577c-423f-71bf-b7f4-3f448b4403d3","wc","Exocoetoidea","",NA
"0189577c-419d-7376-814c-6cd6c5f5e709","wc","Trachichthyoidei","",NA
"0189577c-45bf-7e3b-94b1-a85f1d2bfd61","wc","Epinephelini","",NA
"0189577c-4587-7b41-bfb8-08e9c12840a9","wc","Scomberomorini","",NA
"0189577c-45ac-7988-b4d8-9213da2467c1","wc","Thunnini","",NA
"0189577c-42e8-7c0a-8af5-28d5233734db","wc","Eopsettinae","",NA
"0189577c-4629-7df7-9ebd-ff9127ca6b72","wc","Isopsettini","",NA
"0189577c-44ac-776d-8430-47ce0d7b584a","wc","Microstomini","",NA
"0189577c-460d-7da5-a8ea-4a7a9d273522","wc","Psettichthyini","",NA
"0189577c-4249-79bd-8e3b-f2b2295dc1b3","wc","Cyclopteroidea","",NA
"0189577c-4136-7568-a2fc-329c9d2d5153","wc","Cetomimoidea","",NA
"0189577c-419b-77e9-b5d1-4ebd54e56970","wc","Tetraodontoidei","",NA
"0189577c-415f-79c9-b7e0-2157336799ce","wc","Zeioidei","",NA
"0189577c-3f4d-7430-a15f-18db4d0ef622","wc","Clupeomorpha","",NA
"0189577c-4321-7fba-b2ef-4899a1b65681","wc","Alosinae","",NA
"0189577c-43dc-76e7-8b2f-ff0bc3dc8ce1","wc","Clupeinae","",NA
"0189577c-45ea-7b92-b3b3-b23033aa6203","wc","Dussumieriini","",NA
"0189577c-3ed3-763c-9b30-d2066b5afa39","wc","Cyclosquamata","",NA
